,HIVincidence
972,0.0
973,0.0
974,0.0
975,0.0
976,0.0
977,0.0
978,0.0
979,15.1
980,0.0
981,0.0
982,0.0
983,0.0
984,6.4
985,0.0
986,0.0
987,5.2
988,0.0
989,0.0
990,4.7
991,0.0
992,0.0
993,0.0
994,21.6
995,0.0
996,0.0
997,0.0
998,21.0
999,0.0
1000,2.8
1001,17.9
1002,0.0
1003,3.8
1004,0.0
1005,10.0
1006,0.0
1007,0.0
1008,21.9
1009,31.4
1010,0.0
1011,16.9
1012,6.8
1013,12.5
1014,0.0
1015,0.0
1016,9.8
1017,10.8
1018,28.3
1019,5.1
1020,0.0
1021,0.0
1022,0.0
1023,0.0
1024,0.0
1025,22.9
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,18.6
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,41.0
1042,10.5
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,23.1
1048,0.0
1049,0.0
1050,10.3
1051,0.0
1052,29.5
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,13.9
1061,0.0
1062,0.0
1063,0.0
1064,11.300000000000002
1065,0.0
1066,0.0
1067,0.0
1068,4.7
1069,0.0
1070,0.0
1071,0.0
1072,0.0
1073,8.9
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,5.1
1082,0.0
1083,0.0
1084,22.2
1085,0.0
1086,0.0
1087,0.0
1088,0.0
1089,0.0
1090,0.0
1091,0.0
1092,0.0
1093,5.1
1094,0.0
1095,0.0
1096,0.0
1097,0.0
1098,0.0
1099,0.0
1100,18.8
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,15.7
1106,12.9
1107,0.0
1108,0.0
1109,13.0
1110,8.9
1111,10.3
1112,0.0
1113,0.0
1114,24.6
1115,0.0
1116,11.2
1117,0.0
1118,14.6
1119,4.3
1120,2.8
1121,0.0
1122,0.0
1123,0.0
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,5.8
1129,0.0
1130,0.0
1131,0.0
1132,0.0
1133,47.5
1134,0.0
1135,0.0
1136,0.0
1137,0.0
1138,0.0
1139,0.0
1140,0.0
1141,50.9
1142,5.8
1143,0.0
1144,0.0
1145,0.0
1146,0.0
1147,9.0
1148,17.0
1149,0.0
1150,13.8
1151,0.0
1152,0.0
1153,12.7
1154,29.0
1155,0.0
1156,0.0
1157,0.0
1158,0.0
1159,0.0
1160,4.9
1161,0.0
1162,10.9
1163,0.0
1164,0.0
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,5.9
1170,0.0
1171,0.0
1172,0.0
1173,0.0
1174,5.0
1175,8.9
1176,0.0
1177,31.0
1178,0.0
1179,0.0
1180,0.0
1181,5.3
1182,0.0
1183,0.0
1184,0.0
1185,0.0
1186,15.4
1187,0.0
1188,0.0
1189,0.0
1190,0.0
1191,0.0
1192,25.0
1193,5.8
1194,0.0
1195,0.0
1196,0.0
1197,8.7
1198,0.0
1199,0.0
1200,5.4
1201,0.0
1202,0.0
1203,0.0
